date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:54	17115/17115	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/index.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/index.html	(from )
14:23:55	117/117	---MCZ	200	added ('OK')	text/plain	date:Mon,%2014%20Nov%202022%2022:08:22%20GMT	https://demo.curlythemes.com/robots.txt		(from )
14:23:55	18094/18094	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2257b4a303-46ae%22	https://demo.curlythemes.com/html/leisure/images/favicon.ico	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/images/favicon.ico	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:56	109518/109518	---MCZ	200	added ('OK')	text/css	etag:W/%2257b4a303-1abce%22	https://demo.curlythemes.com/html/leisure/css/bootstrap.min.css	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/css/bootstrap.min.css	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:56	20766/20766	---MCZ	200	added ('OK')	text/css	etag:W/%2257b4a303-511e%22	https://demo.curlythemes.com/html/leisure/css/font-awesome.min.css	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/css/font-awesome.min.css	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:57	3632/3632	---MCZ	200	added ('OK')	text/css	etag:W/%2257b4a303-e30%22	https://demo.curlythemes.com/html/leisure/css/owl.carousel.min.css	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/css/owl.carousel.min.css	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:57	1055/1055	---MCZ	200	added ('OK')	text/css	etag:W/%2257b4a303-41f%22	https://demo.curlythemes.com/html/leisure/css/owl.theme.default.min.css	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/css/owl.theme.default.min.css	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:57	30050/30050	---MCZ	200	added ('OK')	text/css	etag:W/%2257b4a303-7562%22	https://demo.curlythemes.com/html/leisure/css/datepicker.css	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/css/datepicker.css	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:58	46433/46433	---MCZ	200	added ('OK')	text/css	etag:W/%2257b4a303-e2ed%22	https://demo.curlythemes.com/html/leisure/style.css	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/style.css	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:58	5368/5368	---M--	200	added ('OK')	image/png	etag:%2257b4a303-14f8%22	https://demo.curlythemes.com/html/leisure/images/logo-leisure.png	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/images/logo-leisure.png	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:59	17637/17637	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/resort.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/resort.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:59	16065/16065	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/rooms.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/rooms.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:23:59	15740/15740	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/room-view.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/room-view.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:00	17627/17627	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/dining.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/dining.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:00	17869/17869	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/activities.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/activities.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:00	15402/15402	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/children.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/children.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:01	15021/15021	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/attractions.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/attractions.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:01	13734/13734	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/events.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/events.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:01	17689/17689	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/news.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/news.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:01	18922/18922	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/typography.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/typography.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:02	20143/20143	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/elements.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/elements.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:02	13765/13765	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/media-gallery.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/media-gallery.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:03	14188/14188	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/sidebar-left.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/sidebar-left.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:03	14188/14188	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/sidebar-right.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/sidebar-right.html	(from https://demo.curlythemes.com/html/leisure/index.html)
14:24:03	13132/13132	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2017:46:43%20GMT	https://demo.curlythemes.com/html/leisure/members.html	C:/My%20Web%20Sites/asda/demo.curlythemes.com/html/leisure/members.html	(from https://demo.curlythemes.com/html/leisure/index.html)
